=== RESULTS ===

Algorithm:	Apriori
35-50yPrivateUnited-States: 6689
35-50yPrivateWhite: 6422
35-50yPrivatecg_0: 6768
35-50yPrivatecl_0: 7109
<40h<=50KHS-grad: 6827
<40h<=50KPrivate: 13798
<40hHS-gradPrivate: 5857
<40hHS-gradUnited-States: 7172
<40hHS-gradWhite: 6430
<40hHS-gradcg_0: 7325
<40hHS-gradcl_0: 7540
<40hMalePrivate: 9745
<40hNot-in-familycg_0: 5535
<40hPrivateUnited-States: 14273
<40hPrivateWhite: 13529
<40hPrivatecg_0: 15288
<40hPrivatecl_0: 15701
<40hcl_0no-spouse: 5045
<=50KHS-gradMale: 5662
<=50KHS-gradPrivate: 6661
<=50KHS-gradUnited-States: 8119
<=50KHS-gradWhite: 7362
<=50KHS-gradcg_0: 8446
<=50KHS-gradcl_0: 8563
<=50KMalePrivate: 10707
<=50KNot-in-familyPrivate: 5439
<=50KNot-in-familycg_0: 7153
<=50KPrivateUnited-States: 15594
<=50KPrivateWhite: 14872
<=50KPrivatecg_0: 17037
<=50KPrivatecl_0: 17225
<=50KUnited-Statesno-spouse: 5617
<=50KWhiteno-spouse: 5066
<=50Kcg_0no-spouse: 5989
<=50Kcl_0no-spouse: 6044
HS-gradMalePrivate: 5159
HS-gradMaleUnited-States: 6595
HS-gradMaleWhite: 6228
HS-gradMalecg_0: 6585
HS-gradMalecl_0: 6809
HS-gradPrivateUnited-States: 7148
HS-gradPrivateWhite: 6612
HS-gradPrivatecg_0: 7321
HS-gradPrivatecl_0: 7508
HS-gradUnited-StatesWhite: 8384
HS-gradUnited-Statescg_0: 9069
HS-gradUnited-Statescl_0: 9317
HS-gradWhitecg_0: 8298
HS-gradWhitecl_0: 8548
HS-gradcg_0cl_0: 9415
MalePrivateUnited-States: 13209
MalePrivateWhite: 13123
MalePrivatecg_0: 13604
MalePrivatecl_0: 14209
Not-in-familyPrivateUnited-States: 5397
Not-in-familyPrivateWhite: 5204
Not-in-familyPrivatecg_0: 5643
Not-in-familyPrivatecl_0: 5774
Not-in-familyUnited-Statescg_0: 7022
Not-in-familyWhitecg_0: 6649
Not-in-familycg_0cl_0: 7427
PrivateUnited-StatesWhite: 17728
PrivateUnited-Statescg_0: 18558
PrivateUnited-Statescl_0: 19237
PrivateWhitecg_0: 17864
PrivateWhitecl_0: 18528
Privatecg_0cl_0: 19982
Servicescg_0cl_0: 5105
United-StatesWhiteno-spouse: 5188
United-Statescg_0no-spouse: 5820
United-Statescl_0no-spouse: 5997
Whitecg_0no-spouse: 5264
Whitecl_0no-spouse: 5436
cg_0cl_0no-spouse: 6217
<40hHusbandPrivate: 5070
<40hMarried-civ-spousePrivate: 6033
<=50KMarried-civ-spousePrivate: 5512
HusbandMalePrivate: 8571
HusbandMarried-civ-spousePrivate: 8566
HusbandPrivateUnited-States: 7627
HusbandPrivatecg_0: 7580
HusbandPrivatecl_0: 8043
MaleMarried-civ-spousePrivate: 8668
Married-civ-spousePrivateUnited-States: 8591
Married-civ-spousePrivatecg_0: 8601
Married-civ-spousePrivatecl_0: 9147
25-35y<40hcg_0: 5368
25-35y<40hcl_0: 5460
25-35y<=50KPrivate: 5320
25-35y<=50Kcg_0: 6654
25-35y<=50Kcl_0: 6701
25-35yPrivatecg_0: 6065
25-35yPrivatecl_0: 6209
25-35ycg_0cl_0: 7593
<40h<=50KFemale: 8220
<40hFemalePrivate: 6533
<40hFemalecg_0: 8562
<40hFemalecl_0: 8737
<=50KFemalePrivate: 7026
<=50KFemalecg_0: 9244
<=50KFemalecl_0: 9324
FemalePrivatecg_0: 7360
FemalePrivatecl_0: 7505
Femalecg_0cl_0: 9779
<40hFemaleUnited-States: 8115
<40hFemaleWhite: 7138
<=50KFemaleUnited-States: 8610
<=50KFemaleWhite: 7614
FemalePrivateUnited-States: 6926
FemalePrivateWhite: 6281
FemaleUnited-StatesWhite: 7968
FemaleUnited-Statescg_0: 9113
FemaleUnited-Statescl_0: 9343
FemaleWhitecg_0: 8121
FemaleWhitecl_0: 8328
Married-civ-spousePrivateWhite: 8684
41-50hUnited-StatesWhite: 5127
41-50hUnited-Statescl_0: 5127
41-50hWhitecl_0: 5115
>50KHusbandMale: 5918
>50KHusbandMarried-civ-spouse: 5914
>50KHusbandUnited-States: 5425
>50KHusbandWhite: 5428
>50KHusbandcl_0: 5305
>50KMaleMarried-civ-spouse: 5938
>50KMaleUnited-States: 6099
>50KMaleWhite: 6089
>50KMalecg_0: 5260
>50KMalecl_0: 5990
>50KMarried-civ-spouseUnited-States: 6117
>50KMarried-civ-spouseWhite: 6105
>50KMarried-civ-spousecg_0: 5349
>50KMarried-civ-spousecl_0: 6009
>50KUnited-StatesWhite: 6704
>50KUnited-Statescg_0: 5631
>50KUnited-Statescl_0: 6466
>50KWhitecg_0: 5606
>50KWhitecl_0: 6411
>50Kcg_0cl_0: 5391
25-35yPrivateUnited-States: 5666
25-35yPrivateWhite: 5433
25-35yUnited-StatesWhite: 6479
25-35yUnited-Statescl_0: 7167
25-35yWhitecl_0: 6784
Never-marriedPrivateUnited-States: 7270
Never-marriedPrivateWhite: 6785
Never-marriedPrivatecl_0: 7961
HusbandPrivateWhite: 7740
Some-collegeUnited-Statescg_0: 6289
Some-collegeUnited-Statescl_0: 6479
Some-collegecg_0cl_0: 6533
25-35yMalecg_0: 5364
25-35yMalecl_0: 5514
0-25y<40h<=50K: 5521
0-25y<40hUnited-States: 5036
0-25y<40hcg_0: 5435
0-25y<40hcl_0: 5454
0-25y<=50KNever-married: 5423
0-25y<=50KPrivate: 5011
0-25y<=50KUnited-States: 5688
0-25y<=50KWhite: 5390
0-25y<=50Kcg_0: 6139
0-25y<=50Kcl_0: 6163
0-25yNever-marriedcg_0: 5314
0-25yNever-marriedcl_0: 5336
0-25yUnited-StatesWhite: 5063
0-25yUnited-Statescg_0: 5614
0-25yUnited-Statescl_0: 5655
0-25yWhitecg_0: 5328
0-25yWhitecl_0: 5371
0-25ycg_0cl_0: 6080
<40hNever-marriedPrivate: 6611
<40hNever-marriedcg_0: 8280
<=50KNever-marriedPrivate: 7858
<=50KNever-marriedcg_0: 9888
Never-marriedPrivatecg_0: 7859
Never-marriedUnited-Statescg_0: 9160
Never-marriedWhitecg_0: 8387
Never-marriedcg_0cl_0: 9914
25-35y<=50KUnited-States: 6054
25-35yMaleUnited-States: 5061
25-35yUnited-Statescg_0: 6994
MaleNever-marriedcg_0: 5651
25-35y<=50KWhite: 5676
25-35yWhitecg_0: 6611
<=50KSome-collegeUnited-States: 5442
<=50KSome-collegecg_0: 5690
<=50KSome-collegecl_0: 5733
<40hSome-collegecg_0: 5108
<40hSome-collegecl_0: 5197
Some-collegeUnited-StatesWhite: 5872
Some-collegeWhitecg_0: 5784
Some-collegeWhitecl_0: 5956
35-50y<40hUnited-StatesWhite: 5223
35-50y<40hUnited-Statescl_0: 5900
35-50y<40hWhitecl_0: 5428
35-50y<=50KUnited-StatesWhite: 5362
35-50y<=50KUnited-Statescl_0: 6101
35-50y<=50KWhitecl_0: 5677
35-50yMaleUnited-StatesWhite: 6468
35-50yMaleUnited-Statescl_0: 6596
35-50yMaleWhitecl_0: 6498
35-50yUnited-StatesWhitecl_0: 8253
<40h<=50KMaleUnited-States: 9428
<40h<=50KMaleWhite: 9097
<40h<=50KMalecl_0: 10453
<40h<=50KNever-marriedUnited-States: 7493
<40h<=50KNever-marriedWhite: 6723
<40h<=50KNever-marriedcl_0: 8148
<40h<=50KNot-in-familycl_0: 5291
<40h<=50KUnited-StatesWhite: 14123
<40h<=50KUnited-Statescl_0: 16329
<40h<=50KWhitecl_0: 15085
<40hMaleUnited-StatesWhite: 10849
<40hMaleUnited-Statescl_0: 11752
<40hMaleWhitecl_0: 11391
<40hNever-marriedUnited-StatesWhite: 6357
<40hNever-marriedUnited-Statescl_0: 7468
<40hNever-marriedWhitecl_0: 6715
<40hNot-in-familyUnited-Statescl_0: 5065
<40hUnited-StatesWhitecl_0: 16696
<=50KMaleNever-marriedcl_0: 5440
<=50KMaleUnited-StatesWhite: 11913
<=50KMaleUnited-Statescl_0: 12957
<=50KMaleWhitecl_0: 12665
<=50KNever-marriedUnited-StatesWhite: 7660
<=50KNever-marriedUnited-Statescl_0: 8883
<=50KNever-marriedWhitecl_0: 8107
<=50KNot-in-familyUnited-StatesWhite: 5881
<=50KNot-in-familyUnited-Statescl_0: 6485
<=50KNot-in-familyWhitecl_0: 6124
<=50KUnited-StatesWhitecl_0: 18313
MaleNever-marriedUnited-Statescl_0: 5092
MaleUnited-StatesWhitecl_0: 16679
Never-marriedUnited-StatesWhitecl_0: 7816
Not-in-familyUnited-StatesWhitecl_0: 6327
35-50y<40hUnited-Statescg_0: 5661
35-50y<40hWhitecg_0: 5224
35-50y<40hcg_0cl_0: 6075
35-50y<=50KUnited-Statescg_0: 6024
35-50y<=50KWhitecg_0: 5612
35-50y<=50Kcg_0cl_0: 6567
35-50yHusbandMaleMarried-civ-spouse: 5794
35-50yHusbandMaleUnited-States: 5216
35-50yHusbandMaleWhite: 5235
35-50yHusbandMalecg_0: 5040
35-50yHusbandMalecl_0: 5378
35-50yHusbandMarried-civ-spouseUnited-States: 5214
35-50yHusbandMarried-civ-spouseWhite: 5233
35-50yHusbandMarried-civ-spousecg_0: 5039
35-50yHusbandMarried-civ-spousecl_0: 5376
35-50yMaleMarried-civ-spouseUnited-States: 5234
35-50yMaleMarried-civ-spouseWhite: 5255
35-50yMaleMarried-civ-spousecg_0: 5065
35-50yMaleMarried-civ-spousecl_0: 5405
35-50yMaleUnited-Statescg_0: 6212
35-50yMaleWhitecg_0: 6142
35-50yMalecg_0cl_0: 6405
35-50yMarried-civ-spouseUnited-StatesWhite: 5405
35-50yMarried-civ-spouseUnited-Statescg_0: 5050
35-50yMarried-civ-spouseUnited-Statescl_0: 5414
35-50yMarried-civ-spouseWhitecg_0: 5068
35-50yMarried-civ-spouseWhitecl_0: 5412
35-50yMarried-civ-spousecg_0cl_0: 5213
35-50yUnited-StatesWhitecg_0: 7838
35-50yUnited-Statescg_0cl_0: 8347
35-50yWhitecg_0cl_0: 7912
<40h<=50KMalecg_0: 10311
<40h<=50KMarried-civ-spousecg_0: 5371
<40h<=50KMarried-civ-spousecl_0: 5533
<40h<=50KUnited-Statescg_0: 16135
<40h<=50KWhitecg_0: 14893
<40h<=50Kcg_0cl_0: 17699
<40hHusbandMaleMarried-civ-spouse: 7740
<40hHusbandMaleUnited-States: 6825
<40hHusbandMaleWhite: 6814
<40hHusbandMalecg_0: 6925
<40hHusbandMalecl_0: 7320
<40hHusbandMarried-civ-spouseUnited-States: 6824
<40hHusbandMarried-civ-spouseWhite: 6813
<40hHusbandMarried-civ-spousecg_0: 6924
<40hHusbandMarried-civ-spousecl_0: 7319
<40hHusbandUnited-StatesWhite: 6216
<40hHusbandUnited-Statescg_0: 6090
<40hHusbandUnited-Statescl_0: 6446
<40hHusbandWhitecg_0: 6092
<40hHusbandWhitecl_0: 6443
<40hHusbandcg_0cl_0: 6504
<40hMaleMarried-civ-spouseUnited-States: 6887
<40hMaleMarried-civ-spouseWhite: 6885
<40hMaleMarried-civ-spousecg_0: 7012
<40hMaleMarried-civ-spousecl_0: 7413
<40hMaleUnited-Statescg_0: 11310
<40hMaleWhitecg_0: 10966
<40hMalecg_0cl_0: 12252
<40hMarried-civ-spouseUnited-StatesWhite: 7285
<40hMarried-civ-spouseUnited-Statescg_0: 7160
<40hMarried-civ-spouseUnited-Statescl_0: 7602
<40hMarried-civ-spouseWhitecg_0: 7137
<40hMarried-civ-spouseWhitecl_0: 7567
<40hMarried-civ-spousecg_0cl_0: 7698
<40hUnited-StatesWhitecg_0: 16168
<40hUnited-Statescg_0cl_0: 18183
<40hWhitecg_0cl_0: 16944
<=50KHusbandMaleMarried-civ-spouse: 7269
<=50KHusbandMaleUnited-States: 6435
<=50KHusbandMaleWhite: 6511
<=50KHusbandMalecg_0: 6868
<=50KHusbandMalecl_0: 7031
<=50KHusbandMarried-civ-spouseUnited-States: 6431
<=50KHusbandMarried-civ-spouseWhite: 6507
<=50KHusbandMarried-civ-spousecg_0: 6864
<=50KHusbandMarried-civ-spousecl_0: 7027
<=50KHusbandUnited-StatesWhite: 5931
<=50KHusbandUnited-Statescg_0: 6081
<=50KHusbandUnited-Statescl_0: 6218
<=50KHusbandWhitecg_0: 6140
<=50KHusbandWhitecl_0: 6291
<=50KHusbandcg_0cl_0: 6626
<=50KMaleMarried-civ-spouseUnited-States: 6506
<=50KMaleMarried-civ-spouseWhite: 6592
<=50KMaleMarried-civ-spousecg_0: 6967
<=50KMaleMarried-civ-spousecl_0: 7136
<=50KMaleUnited-Statescg_0: 12773
<=50KMaleWhitecg_0: 12470
<=50KMalecg_0cl_0: 13963
<=50KMarried-civ-spouseUnited-StatesWhite: 6618
<=50KMarried-civ-spouseUnited-Statescg_0: 6837
<=50KMarried-civ-spouseUnited-Statescl_0: 7008
<=50KMarried-civ-spouseWhitecg_0: 6877
<=50KMarried-civ-spouseWhitecl_0: 7056
<=50KMarried-civ-spousecg_0cl_0: 7533
<=50KUnited-StatesWhitecg_0: 18097
<=50KUnited-Statescg_0cl_0: 20394
<=50KWhitecg_0cl_0: 19161
HusbandMaleMarried-civ-spouseUnited-States: 11851
HusbandMaleMarried-civ-spouseWhite: 11930
HusbandMaleMarried-civ-spousecg_0: 11586
HusbandMaleMarried-civ-spousecl_0: 12327
HusbandMaleUnited-StatesWhite: 11052
HusbandMaleUnited-Statescg_0: 10407
HusbandMaleUnited-Statescl_0: 11085
HusbandMaleWhitecg_0: 10472
HusbandMaleWhitecl_0: 11158
HusbandMalecg_0cl_0: 10738
HusbandMarried-civ-spouseUnited-StatesWhite: 11044
HusbandMarried-civ-spouseUnited-Statescg_0: 10400
HusbandMarried-civ-spouseUnited-Statescl_0: 11077
HusbandMarried-civ-spouseWhitecg_0: 10465
HusbandMarried-civ-spouseWhitecl_0: 11150
HusbandMarried-civ-spousecg_0cl_0: 10731
HusbandUnited-StatesWhitecg_0: 9677
HusbandUnited-StatesWhitecl_0: 10315
HusbandUnited-Statescg_0cl_0: 9633
HusbandWhitecg_0cl_0: 9692
MaleMarried-civ-spouseUnited-StatesWhite: 11125
MaleMarried-civ-spouseUnited-Statescg_0: 10486
MaleMarried-civ-spouseUnited-Statescl_0: 11171
MaleMarried-civ-spouseWhitecg_0: 10560
MaleMarried-civ-spouseWhitecl_0: 11253
MaleMarried-civ-spousecg_0cl_0: 10852
MaleUnited-StatesWhitecg_0: 15883
MaleUnited-Statescg_0cl_0: 16546
MaleWhitecg_0cl_0: 16254
Married-civ-spouseUnited-StatesWhitecg_0: 10820
Married-civ-spouseUnited-StatesWhitecl_0: 11545
Married-civ-spouseUnited-Statescg_0cl_0: 10853
Married-civ-spouseWhitecg_0cl_0: 10883
United-StatesWhitecg_0cl_0: 22097
35-50yPrivateUnited-StatesWhite: 5897
35-50yPrivateUnited-Statescg_0: 5989
35-50yPrivateUnited-Statescl_0: 6312
35-50yPrivateWhitecg_0: 5751
35-50yPrivateWhitecl_0: 6046
35-50yPrivatecg_0cl_0: 6353
<40h<=50KHS-gradPrivate: 5210
<40h<=50KHS-gradUnited-States: 6252
<40h<=50KHS-gradWhite: 5547
<40h<=50KHS-gradcg_0: 6533
<40h<=50KHS-gradcl_0: 6636
<40h<=50KMalePrivate: 7757
<40h<=50KNot-in-familycg_0: 5291
<40h<=50KPrivateUnited-States: 12047
<40h<=50KPrivateWhite: 11329
<40h<=50KPrivatecg_0: 13288
<40h<=50KPrivatecl_0: 13436
<40hHS-gradPrivateUnited-States: 5337
<40hHS-gradPrivatecg_0: 5538
<40hHS-gradPrivatecl_0: 5685
<40hHS-gradUnited-StatesWhite: 6022
<40hHS-gradUnited-Statescg_0: 6729
<40hHS-gradUnited-Statescl_0: 6921
<40hHS-gradWhitecg_0: 6014
<40hHS-gradWhitecl_0: 6206
<40hHS-gradcg_0cl_0: 7063
<40hMalePrivateUnited-States: 8442
<40hMalePrivateWhite: 8304
<40hMalePrivatecg_0: 9047
<40hMalePrivatecl_0: 9364
<40hNot-in-familycg_0cl_0: 5320
<40hPrivateUnited-StatesWhite: 12248
<40hPrivateUnited-Statescg_0: 13380
<40hPrivateUnited-Statescl_0: 13749
<40hPrivateWhitecg_0: 12679
<40hPrivateWhitecl_0: 13036
<40hPrivatecg_0cl_0: 14711
<=50KHS-gradMaleUnited-States: 5216
<=50KHS-gradMalecg_0: 5391
<=50KHS-gradMalecl_0: 5488
<=50KHS-gradPrivateUnited-States: 6089
<=50KHS-gradPrivateWhite: 5574
<=50KHS-gradPrivatecg_0: 6395
<=50KHS-gradPrivatecl_0: 6473
<=50KHS-gradUnited-StatesWhite: 6908
<=50KHS-gradUnited-Statescg_0: 7773
<=50KHS-gradUnited-Statescl_0: 7867
<=50KHS-gradWhitecg_0: 7033
<=50KHS-gradWhitecl_0: 7133
<=50KHS-gradcg_0cl_0: 8183
<=50KMalePrivateUnited-States: 9330
<=50KMalePrivateWhite: 9230
<=50KMalePrivatecg_0: 10238
<=50KMalePrivatecl_0: 10385
<=50KNot-in-familyPrivatecg_0: 5238
<=50KNot-in-familyPrivatecl_0: 5254
<=50KNot-in-familyUnited-Statescg_0: 6459
<=50KNot-in-familyWhitecg_0: 6095
<=50KNot-in-familycg_0cl_0: 6884
<=50KPrivateUnited-StatesWhite: 13452
<=50KPrivateUnited-Statescg_0: 14976
<=50KPrivateUnited-Statescl_0: 15132
<=50KPrivateWhitecg_0: 14263
<=50KPrivateWhitecl_0: 14430
<=50KPrivatecg_0cl_0: 16529
<=50KUnited-Statescg_0no-spouse: 5382
<=50KUnited-Statescl_0no-spouse: 5434
<=50Kcg_0cl_0no-spouse: 5789
HS-gradMaleUnited-StatesWhite: 5880
HS-gradMaleUnited-Statescg_0: 6105
HS-gradMaleUnited-Statescl_0: 6305
HS-gradMaleWhitecg_0: 5756
HS-gradMaleWhitecl_0: 5954
HS-gradMalecg_0cl_0: 6283
HS-gradPrivateUnited-StatesWhite: 6204
HS-gradPrivateUnited-Statescg_0: 6726
HS-gradPrivateUnited-Statescl_0: 6889
HS-gradPrivateWhitecg_0: 6209
HS-gradPrivateWhitecl_0: 6371
HS-gradPrivatecg_0cl_0: 7049
HS-gradUnited-StatesWhitecg_0: 7819
HS-gradUnited-StatesWhitecl_0: 8038
HS-gradUnited-Statescg_0cl_0: 8684
HS-gradWhitecg_0cl_0: 7942
MalePrivateUnited-StatesWhite: 11956
MalePrivateUnited-Statescg_0: 11991
MalePrivateUnited-Statescl_0: 12538
MalePrivateWhitecg_0: 11912
MalePrivateWhitecl_0: 12459
MalePrivatecg_0cl_0: 12869
Not-in-familyPrivateUnited-Statescg_0: 5059
Not-in-familyPrivateUnited-Statescl_0: 5183
